# NKPT   121 NBND    26 NSPIN     1
# NPANEL     6
#      1   (0,0,0)/2
#     24   (1,1,0)/2
#     41   (0,1,0)/2
#     61   (0,1,1)/2
#     78   (1,1,1)/2
#    101   (0,0,1)/2
#    121   (0,0,0)/2
@ WITH G0
@ G0 ON
@ TITLE "BAND STRUCTURE"
@ DEFAULT COLOR 1
@ XAXIS TICK ON
@ XAXIS TICKLABEL ON
@ XAXIS TICKLABEL CHAR SIZE 0.8
@ XAXIS TICK TYPE SPEC
@ XAXIS TICKLABEL TYPE SPEC
@ XAXIS TICK MAJOR GRID ON
@ YAXIS LABEL "E-EFERMI (HARTREE)"
@ AUTOSCALE ONREAD YAXES
@ AUTOTICKS
@ XAXIS TICK SPEC     7
@ XAXIS TICK     0,     0.00000
@ XAXIS TICKLABEL    0,"(0,0,0)/2"
@ XAXIS TICK     1,     0.42247
@ XAXIS TICKLABEL    1,"(1,1,0)/2"
@ XAXIS TICK     2,     0.72121
@ XAXIS TICKLABEL    2,"(0,1,0)/2"
@ XAXIS TICK     3,     1.07613
@ XAXIS TICKLABEL    3,"(0,1,1)/2"
@ XAXIS TICK     4,     1.37487
@ XAXIS TICKLABEL    4,"(1,1,1)/2"
@ XAXIS TICK     5,     1.79734
@ XAXIS TICKLABEL    5,"(0,0,1)/2"
@ XAXIS TICK     6,     2.15227
@ XAXIS TICKLABEL    6,"(0,0,0)/2"
@ WORLD      0.00000,        -1.1,     2.15227,         0.7
@ VIEW      0.15000,     0.15000,     1.14418,     0.85000
  0.54628E+00 -0.10078E+01 -0.10078E+01 -0.83898E+00 -0.83898E+00 -0.78474E+00 -0.78474E+00 -0.45145E+00 -0.45145E+00 -0.36416E+00 -0.36416E+00 -0.33589E+00 -0.33589E+00 -0.26287E+00 -0.26287E+00 -0.20714E+00 -0.20714E+00 -0.17913E+00 -0.17913E+00 -0.80172E-01 -0.80172E-01 -0.30417E-01 -0.30417E-01 -0.11825E-01 -0.11825E-01  0.62631E+00  0.62631E+00
  0.56385E+00 -0.10078E+01 -0.10078E+01 -0.83902E+00 -0.83902E+00 -0.78467E+00 -0.78467E+00 -0.45132E+00 -0.45132E+00 -0.36533E+00 -0.36533E+00 -0.33570E+00 -0.33570E+00 -0.26077E+00 -0.26077E+00 -0.20808E+00 -0.20808E+00 -0.17897E+00 -0.17897E+00 -0.80490E-01 -0.80490E-01 -0.30650E-01 -0.30650E-01 -0.11897E-01 -0.11897E-01  0.62616E+00  0.62616E+00
  0.58142E+00 -0.10078E+01 -0.10078E+01 -0.83905E+00 -0.83905E+00 -0.78461E+00 -0.78461E+00 -0.45119E+00 -0.45119E+00 -0.36648E+00 -0.36648E+00 -0.33552E+00 -0.33552E+00 -0.25859E+00 -0.25859E+00 -0.20910E+00 -0.20910E+00 -0.17882E+00 -0.17882E+00 -0.80814E-01 -0.80814E-01 -0.30885E-01 -0.30885E-01 -0.11972E-01 -0.11972E-01  0.62603E+00  0.62603E+00
  0.59900E+00 -0.10078E+01 -0.10078E+01 -0.83908E+00 -0.83908E+00 -0.78454E+00 -0.78454E+00 -0.45105E+00 -0.45105E+00 -0.36759E+00 -0.36759E+00 -0.33536E+00 -0.33536E+00 -0.25638E+00 -0.25638E+00 -0.21019E+00 -0.21019E+00 -0.17868E+00 -0.17868E+00 -0.81134E-01 -0.81134E-01 -0.31115E-01 -0.31115E-01 -0.12047E-01 -0.12047E-01  0.62590E+00  0.62590E+00
  0.61657E+00 -0.10078E+01 -0.10078E+01 -0.83911E+00 -0.83911E+00 -0.78448E+00 -0.78448E+00 -0.45092E+00 -0.45092E+00 -0.36861E+00 -0.36861E+00 -0.33522E+00 -0.33522E+00 -0.25420E+00 -0.25420E+00 -0.21132E+00 -0.21132E+00 -0.17854E+00 -0.17854E+00 -0.81438E-01 -0.81438E-01 -0.31332E-01 -0.31332E-01 -0.12119E-01 -0.12119E-01  0.62578E+00  0.62578E+00
  0.63414E+00 -0.10078E+01 -0.10078E+01 -0.83914E+00 -0.83914E+00 -0.78442E+00 -0.78442E+00 -0.45080E+00 -0.45080E+00 -0.36952E+00 -0.36952E+00 -0.33509E+00 -0.33509E+00 -0.25213E+00 -0.25213E+00 -0.21245E+00 -0.21245E+00 -0.17842E+00 -0.17842E+00 -0.81716E-01 -0.81716E-01 -0.31528E-01 -0.31528E-01 -0.12186E-01 -0.12186E-01  0.62568E+00  0.62568E+00
  0.65171E+00 -0.10078E+01 -0.10078E+01 -0.83917E+00 -0.83917E+00 -0.78438E+00 -0.78438E+00 -0.45069E+00 -0.45069E+00 -0.37030E+00 -0.37030E+00 -0.33498E+00 -0.33498E+00 -0.25024E+00 -0.25024E+00 -0.21353E+00 -0.21353E+00 -0.17832E+00 -0.17832E+00 -0.81959E-01 -0.81959E-01 -0.31697E-01 -0.31697E-01 -0.12244E-01 -0.12244E-01  0.62560E+00  0.62560E+00
  0.66929E+00 -0.10078E+01 -0.10078E+01 -0.83919E+00 -0.83919E+00 -0.78434E+00 -0.78434E+00 -0.45060E+00 -0.45060E+00 -0.37093E+00 -0.37093E+00 -0.33490E+00 -0.33490E+00 -0.24862E+00 -0.24862E+00 -0.21449E+00 -0.21449E+00 -0.17823E+00 -0.17823E+00 -0.82156E-01 -0.82156E-01 -0.31835E-01 -0.31835E-01 -0.12292E-01 -0.12292E-01  0.62554E+00  0.62554E+00
  0.68686E+00 -0.10078E+01 -0.10078E+01 -0.83920E+00 -0.83920E+00 -0.78431E+00 -0.78431E+00 -0.45054E+00 -0.45054E+00 -0.37138E+00 -0.37138E+00 -0.33483E+00 -0.33483E+00 -0.24737E+00 -0.24737E+00 -0.21526E+00 -0.21526E+00 -0.17817E+00 -0.17817E+00 -0.82303E-01 -0.82303E-01 -0.31937E-01 -0.31937E-01 -0.12328E-01 -0.12328E-01  0.62549E+00  0.62549E+00
  0.70443E+00 -0.10078E+01 -0.10078E+01 -0.83921E+00 -0.83921E+00 -0.78429E+00 -0.78429E+00 -0.45050E+00 -0.45050E+00 -0.37166E+00 -0.37166E+00 -0.33480E+00 -0.33480E+00 -0.24657E+00 -0.24657E+00 -0.21576E+00 -0.21576E+00 -0.17813E+00 -0.17813E+00 -0.82393E-01 -0.82393E-01 -0.31999E-01 -0.31999E-01 -0.12350E-01 -0.12350E-01  0.62547E+00  0.62547E+00
  0.72201E+00 -0.10078E+01 -0.10078E+01 -0.83922E+00 -0.83922E+00 -0.78428E+00 -0.78428E+00 -0.45048E+00 -0.45048E+00 -0.37176E+00 -0.37176E+00 -0.33479E+00 -0.33479E+00 -0.24629E+00 -0.24629E+00 -0.21594E+00 -0.21594E+00 -0.17812E+00 -0.17812E+00 -0.82423E-01 -0.82423E-01 -0.32020E-01 -0.32020E-01 -0.12357E-01 -0.12357E-01  0.62546E+00  0.62546E+00
  0.73958E+00 -0.10078E+01 -0.10078E+01 -0.83930E+00 -0.83930E+00 -0.78427E+00 -0.78427E+00 -0.45035E+00 -0.45035E+00 -0.37160E+00 -0.37160E+00 -0.33492E+00 -0.33492E+00 -0.24630E+00 -0.24630E+00 -0.21597E+00 -0.21597E+00 -0.17835E+00 -0.17835E+00 -0.82223E-01 -0.82223E-01 -0.32102E-01 -0.32102E-01 -0.12360E-01 -0.12360E-01  0.62554E+00  0.62554E+00
  0.75732E+00 -0.10077E+01 -0.10077E+01 -0.83954E+00 -0.83954E+00 -0.78423E+00 -0.78423E+00 -0.44997E+00 -0.44997E+00 -0.37112E+00 -0.37112E+00 -0.33531E+00 -0.33531E+00 -0.24635E+00 -0.24635E+00 -0.21604E+00 -0.21604E+00 -0.17904E+00 -0.17904E+00 -0.81628E-01 -0.81628E-01 -0.32345E-01 -0.32345E-01 -0.12366E-01 -0.12366E-01  0.62579E+00  0.62579E+00
  0.77507E+00 -0.10076E+01 -0.10076E+01 -0.83994E+00 -0.83994E+00 -0.78417E+00 -0.78417E+00 -0.44934E+00 -0.44934E+00 -0.37033E+00 -0.37033E+00 -0.33594E+00 -0.33594E+00 -0.24643E+00 -0.24643E+00 -0.21618E+00 -0.21618E+00 -0.18017E+00 -0.18017E+00 -0.80654E-01 -0.80654E-01 -0.32743E-01 -0.32743E-01 -0.12376E-01 -0.12376E-01  0.62620E+00  0.62620E+00
  0.79282E+00 -0.10074E+01 -0.10074E+01 -0.84048E+00 -0.84048E+00 -0.78409E+00 -0.78409E+00 -0.44849E+00 -0.44849E+00 -0.36921E+00 -0.36921E+00 -0.33679E+00 -0.33679E+00 -0.24656E+00 -0.24656E+00 -0.21637E+00 -0.21637E+00 -0.18170E+00 -0.18170E+00 -0.79328E-01 -0.79328E-01 -0.33284E-01 -0.33284E-01 -0.12390E-01 -0.12390E-01  0.62676E+00  0.62676E+00
